Channel,Tanggal,Jam Mulai,Jam Selesai,Judul Acara,Kategori,Deskripsi
SPOTV,Harian,06:00,08:00,Baseball KBO Highlights,Olahraga,Sorotan liga bisbol Korea.
SPOTV,Harian,08:00,10:00,MotoGP: Free Practice (Live),Olahraga,Latihan bebas seri berjalan.
SPOTV,Harian,10:00,12:00,BWF Magazine,Olahraga,Profil pebulutangkis dan teknik.
SPOTV,Harian,12:00,14:00,One Championship (Tunda),Olahraga,Laga MMA ONE Championship.
SPOTV,Harian,14:00,16:00,Table Tennis WTT,Olahraga,Tenis meja World Table Tennis.
SPOTV,Harian,16:00,18:00,MotoGP: Qualifying (Live),Olahraga,Kualifikasi menentukan pole position.
SPOTV,Harian,18:00,20:00,Badminton Talk,Talkshow,Bincang bulutangkis Indonesia.
SPOTV,Harian,20:00,22:00,MotoGP Sprint (Live),Olahraga,Balapan sprint seri berjalan.
SPOTV,Harian,22:00,24:00,Sports Center,Olahraga,Rangkuman olahraga hari ini.
Animax,Harian,00:00,01:00,Naruto Shippuden,Anime,Naruto melawan Akatsuki.
Animax,Harian,01:00,02:00,One Piece,Anime,Luffy dan kru menuju Egghead.
Animax,Harian,02:00,04:00,Attack on Titan Final,Anime,Pertempuran akhir umat manusia.
Animax,Harian,04:00,06:00,Doraemon,Anime,Petualangan Nobita dan kantong ajaib.
Animax,Harian,06:00,07:00,Crayon Shinchan,Anime,Tingkah kocak Shinchan.
Animax,Harian,07:00,08:00,Detective Conan,Anime,Conan memecahkan kasus pembunuhan.
Animax,Harian,08:00,10:00,Spy x Family Season 2,Anime,Misi keluarga Forger berlanjut.
Animax,Harian,10:00,12:00,My Hero Academia Season 7,Anime,Deku dan kawan melawan All For One.
Animax,Harian,12:00,14:00,Frieren: Beyond Journey’s End,Anime,Perjalanan elf Frieren setelah pahlawan.
Animax,Harian,14:00,16:00,Solo Leveling Season 2,Anime,Sung Jinwoo naik level di dungeon.
Animax,Harian,16:00,18:00,Haikyu!! The Dumpster Battle,Anime,Karasuno vs Nekoma di nationals.
Animax,Harian,18:00,20:00,Demon Slayer: Swordsmith Village Arc,Anime,Anime pilihan utama malam ini.
Animax,Harian,20:00,22:00,Kaiju No. 8,Anime,Kafka melawan kaiju raksasa.
Animax,Harian,22:00,24:00,Jujutsu Kaisen,Anime,Yuji dan Gojo melawan kutukan.
BBC News,Harian,00:00,02:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,02:00,03:00,Newsnight,Berita,Analisis mendalam isu global.
BBC News,Harian,03:00,06:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,06:00,07:00,Breakfast News Asia,Berita,Berita pagi Asia.
BBC News,Harian,07:00,10:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,10:00,11:00,HARDtalk,Talkshow,Wawancara tajam tokoh dunia.
BBC News,Harian,11:00,14:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,14:00,15:00,Click,Teknologi,Gadget dan tren teknologi.
BBC News,Harian,15:00,18:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,18:00,19:00,The World Today,Berita,Rangkuman berita hari ini.
BBC News,Harian,19:00,22:00,BBC World News,Berita,Berita internasional terkini.
BBC News,Harian,22:00,23:00,Global Business,Berita,Berita ekonomi dan pasar dunia.
BBC News,Harian,23:00,24:00,BBC World News,Berita,Berita internasional terkini.
CNN International,Harian,00:00,02:00,CNN Newsroom,Berita,Berita dunia terkini.
CNN International,Harian,02:00,04:00,Amanpour,Talkshow,Wawancara Christiane Amanpour.
CNN International,Harian,04:00,06:00,CNN Newsroom,Berita,Berita dunia terkini.
CNN International,Harian,06:00,08:00,CNN This Morning,Berita,Berita pagi Amerika dan dunia.
CNN International,Harian,08:00,10:00,First Move,Berita,Berita bisnis Asia-Eropa.
CNN International,Harian,10:00,12:00,CNN Newsroom,Berita,Berita dunia terkini.
CNN International,Harian,12:00,13:00,Connect the World,Berita,Berita Eropa dan Timur Tengah.
CNN International,Harian,13:00,15:00,CNN Newsroom,Berita,Berita dunia terkini.
CNN International,Harian,15:00,16:00,Quest Means Business,Berita,Bisnis global bersama Richard Quest.
CNN International,Harian,16:00,19:00,CNN Newsroom,Berita,Berita dunia terkini.
CNN International,Harian,19:00,20:00,The Lead,Berita,Berita utama hari ini.
CNN International,Harian,20:00,22:00,Anderson Cooper 360,Berita,Sorotan mendalam isu Amerika dan dunia.
CNN International,Harian,22:00,24:00,CNN Newsroom,Berita,Berita dunia terkini.
Al Jazeera,Harian,00:00,02:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,02:00,03:00,The Listening Post,Berita,Kritik liputan media global.
Al Jazeera,Harian,03:00,06:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,06:00,08:00,Morning News Asia,Berita,Berita pagi Asia.
Al Jazeera,Harian,08:00,10:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,10:00,11:00,Inside Story,Talkshow,Bedah isu Timur Tengah.
Al Jazeera,Harian,11:00,14:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,14:00,15:00,101 East,Dokumenter,Dokumenter Asia Pasifik.
Al Jazeera,Harian,15:00,18:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,18:00,19:00,Counting the Cost,Berita,Ekonomi global pekan ini.
Al Jazeera,Harian,19:00,22:00,Newshour,Berita,Berita dunia dari Doha.
Al Jazeera,Harian,22:00,23:00,UpFront,Talkshow,Debat isu global.
Al Jazeera,Harian,23:00,24:00,Newshour,Berita,Berita dunia dari Doha.
NHK World,Harian,00:00,02:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,02:00,03:00,Journeys in Japan,Dokumenter,Wisata budaya Jepang.
NHK World,Harian,03:00,06:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,06:00,07:00,Japan Railway Journal,Dokumenter,Dunia kereta Jepang.
NHK World,Harian,07:00,10:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,10:00,11:00,Dining with the Chef,Kuliner,Masakan Jepang bersama koki.
NHK World,Harian,11:00,14:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,14:00,15:00,Core Kyoto,Dokumenter,Budaya Kyoto.
NHK World,Harian,15:00,18:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,18:00,19:00,Sumopedia,Olahraga,Mengenal dunia sumo.
NHK World,Harian,19:00,22:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
NHK World,Harian,22:00,23:00,Tokyo Eye 2020,Dokumenter,Sisi modern Tokyo.
NHK World,Harian,23:00,24:00,NHK Newsline,Berita,Berita Jepang berbahasa Inggris.
